# Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
9.03868,-20.8853,2.57939e+18,134.62,173.135,153.868,124.655,114.139,106.779,109.73,122.082,122.062,53.1248,300.221
8.81834,-20.8535,2.65067e+18,139.292,183.707,164.003,131.822,120.366,110.927,110.901,118.192,115.021,51.743,300.686
8.59805,-20.8216,2.75435e+18,158.14,233.699,217.127,165.104,135.99,106.739,85.2269,71.462,69.4771,42.9896,300.94
8.37733,-20.7898,2.72038e+18,148.004,196.613,175.51,138.6,125.555,113.432,110.086,112.117,106.279,50.049,301.036
8.99296,-21.3651,2.50763e+18,134.441,179.879,166.433,134.634,119.701,106.467,99.5474,96.0743,91.8761,47.7643,300.325
8.77897,-21.3341,2.70337e+18,141.463,197.003,185.026,148.945,131.884,115.601,106.08,100.045,93.6407,48.047,299.556
8.56504,-21.3032,2.70474e+18,143.965,199.11,182.89,145.252,129.049,113.897,106.24,102.567,96.6912,48.6749,299.816
8.3507,-21.2723,2.62911e+18,144.48,192.697,175.202,138.303,123.326,109.311,102.985,101.143,96.6459,48.7129,300.474
9.11154,-21.1948,2.44773e+18,130.987,166.321,147.908,119.614,108.676,101.401,103.299,112.17,110.202,50.6511,299.779
9.16618,-20.9539,2.50615e+18,122.837,144.726,123.249,100.917,94.744,92.6956,104.729,149.914,191.898,61.5173,300.324
9.3539,-21.4684,2.54786e+18,132.685,187.977,188.964,156.079,132.429,108.828,90.4208,77.6328,74.6027,44.1172,298.98
9.13957,-21.4374,2.48444e+18,130.63,167.511,151.395,122.976,111.387,103.914,105.803,114.031,110.3,50.5007,299.397
18.4193,-29.2321,1.5646e+18,92.5436,75.2658,63.1986,57.5453,55.9407,58.607,70.2845,99.3882,116.31,48.6569,296.632
18.4843,-28.9838,1.57759e+18,97.2332,80.3501,67.8009,61.3108,58.7708,60.3309,70.065,93.2826,105.485,47.8959,296.195
18.8021,-27.0014,1.71111e+18,103.04,94.3257,86.879,81.3127,77.2802,75.7572,78.5397,82.8809,78.4266,41.8633,295.079
19.3311,-27.9743,1.55096e+18,100.835,84.8108,72.2729,65.2286,62.024,62.6805,69.803,82.5769,82.6075,42.9198,295.797
19.2923,-28.4343,1.44461e+18,96.3051,83.2742,72.0063,65.0614,60.8867,59.5112,62.2314,67.4546,67.8387,39.9222,296.202
19.0831,-28.3979,1.54813e+18,99.2647,88.9796,79.2388,72.6585,68.2062,65.9921,67.4098,70.9184,69.9538,40.4534,295.926
19.2503,-28.9168,1.47794e+18,95.693,84.1525,73.5684,67.1162,63.2461,61.9081,64.6002,69.9004,69.9054,40.4906,296.378
19.0358,-28.8788,1.56959e+18,99.1303,90.0749,80.8712,74.633,70.2285,67.7408,68.6004,71.3129,70.0309,40.5518,296.036
